action,choice1,choice2,firstPlayer,game,indexOf,judgements1,judgements2,leftLabel,outcome,phase,rangeProb1,rangeProb2,status,template,templates,time,uniqueid,viewTime
,B,B,_v,disjunctive,,David gives Maria the option to spite him for no reason,Maria gives up payment to spite David,Definitely<br />Enemies,3.0,TRIAL,0,0,,,,394053.0,3,
,A,A,_v,disjunctive,,Ryan picks the sensible option,Olivia has no real choice,Definitely<br />Enemies,0.0,TRIAL,50,50,,,,413801.0,3,
,,,,,,,,,,END,,,begin,,,,3,
,,,,,,,,,,END,,,submit,,,,3,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,4,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,4,53146.0
,A,A,_v,pd,,I chose somewhat friend because he wanted the person to get money but at the same time value himself more,Both got equal pay,Definitely<br />Friends,0.0,TRIAL,31,0,,,,157439.0,4,
,B,B,_h,pd,,Zoe decided to be selfish and not let that other person deserve anything,possibility since they got equal pay and care about one another,Definitely<br />Friends,3.0,TRIAL,71,24,,,,215766.0,4,
,A,A,_v,singleControl,,Rebecca decided to give his friend the same value of money,I believe Rebecca value Ryan thus both of them deserve equal pay,Definitely<br />Friends,0.0,TRIAL,15,8,,,,276513.0,4,
,A,B,_h,singleControl,,I said Lauren value Emily as a friend,Emily is one harsh person and consider Lauren an enemy thus Lauren didn't get anything,Definitely<br />Friends,1.0,TRIAL,20,79,,,,340638.0,4,
,A,A,_v,threat,,I believe William care about Kaylee more thus letting her have a lot,Kaylee wanted William to have some instead of nothing just she care about him a bit,Definitely<br />Friends,0.0,TRIAL,18,19,,,,430482.0,4,
,B,A,_v,threat,,I think Kate is selfish and wanted to give less to Robert,Kate decided to give Robert something thus she care about him,Definitely<br />Friends,1.0,TRIAL,69,20,,,,501222.0,4,
,B,B,_v,threat,,I said Hannah wants to give Gerald a little bit since she value him,That Hannah doesn't have Gerald at all and wanted everything for herself,Definitely<br />Friends,3.0,TRIAL,34,100,,,,562983.0,4,
,A,A,_v,disjunctive,,Megan want her and her friend to prosper thus she selected this choice,She believes Daniel deserves equal pay thus selecting this option,Definitely<br />Friends,0.0,TRIAL,0,0,,,,607265.0,4,
,B,B,_v,disjunctive,,I think Matt chose this option because Olivia is a good friend.,To see Matt does this to Olivia means he hate her.,Definitely<br />Friends,3.0,TRIAL,7,100,,,,659505.0,4,
,B,B,_v,attentionGame,,0,0,Definitely<br />Friends,,TRIAL,53,50,,,,681643.0,4,
,A,A,_h,coordination,,I believe Luke wants an equal share of profit for both him and his friend thus he chose this choice,They are definitely friend since they both got equal pay,Definitely<br />Friends,0.0,TRIAL,0,0,,,,727024.0,4,
,B,A,_v,coordination,,I believe Matthew know what his friend want the most so he chose this choice,Matthew chose this so Sydney can feel suffering. Even though he is hurting himself,Definitely<br />Friends,1.0,TRIAL,0,100,,,,786021.0,4,
,,,,,,,,,,END,,,begin,,,,4,
,,,,,,,,,,END,,,submit,,,,4,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,5,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,5,209642.0
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-review.html'],,5,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-review.html,,,5,69077.0
,A,A,_v,disjunctive,,"It looks like they chose to benefit each other, because both got $12.",Both got $12 because they both chose A. Friends make sure each other benefit. ,Definitely<br />Friends,0.0,TRIAL,14,6,,,,280162.0,5,
,B,B,_h,disjunctive,,"Looks like he likes Sally, because they both get $12 if he chooses B. ","Looks like they're enemies, because Sally obviously doesn't like Gerald if she chose B. ",Definitely<br />Friends,3.0,TRIAL,19,70,,,,435662.0,5,
,B,B,_h,pd,,"Jacob basically chose for William to get $0, so enemies. ","Looks like William doesn't have any hard feelings towards Jacob, because he chose for him to at least get some money instead of $0.",Definitely<br />Friends,3.0,TRIAL,85,42,,,,499185.0,5,
,A,A,_v,pd,,"He chose for them both to get something, so he must like her some. ","She chose where they both got something, as well, so she must not dislike him much. 
",Definitely<br />Friends,0.0,TRIAL,31,16,,,,554158.0,5,
,B,A,_v,threat,,Not sure on this one.,"Not sure, this one's a guess. ",Definitely<br />Friends,1.0,TRIAL,51,48,,,,641088.0,5,
,A,A,_h,threat,,"Maybe enemies, because they both get something for picking A, but Zoe does get more. ",He likes her or he wouldn't have picked A knowing he would have gotten less for it. ,Definitely<br />Friends,0.0,TRIAL,60,33,,,,722477.0,5,
,B,B,_h,threat,,"Maybe enemies, otherwise, why risk getting $0?","Enemies, because she chose to leave him $0 and take $6. ",Definitely<br />Friends,3.0,TRIAL,62,86,,,,799218.0,5,
,A,A,_h,coordination,,"Looks like a toss up, it's all or nothing. ","Again, a toss up. I'd pick $12 over nothing, even if it was an enemy I was playing with. ",Definitely<br />Friends,0.0,TRIAL,51,51,,,,846149.0,5,
,A,B,_h,coordination,,Not sure. All or nothing again. ,"Enemies, otherwise he wouldn't have picked B knowing he'd get nothing even if she got nothing. ",Definitely<br />Friends,1.0,TRIAL,51,99,,,,918470.0,5,
,A,B,_h,attentionGame,,0,0,Definitely<br />Friends,,TRIAL,50,50,,,,929996.0,5,
,B,A,_v,singleControl,,"Both result in Daniel getting $6 and Sydney getting nothing, so looks like enemies. ",Maybe she likes him? I don't know.,Definitely<br />Friends,1.0,TRIAL,81,51,,,,1056989.0,5,
,A,A,_v,singleControl,,"They both get money on option A, so I'd guess friends. ","Matt could have gotten money without choosing option A, so friends.",Definitely<br />Friends,0.0,TRIAL,26,8,,,,1132102.0,5,
,,,,,,,,,,END,,,begin,,,,5,
,,,,,,,,,,END,,,submit,,,,5,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,6,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,6,172215.0
,A,A,_h,pd,,It seems he is trying to get the largest reward for Sally.,They both came out with the maximum amount for both although Sally could have gotten more for choice B.,Definitely<br />Friends,0.0,TRIAL,24,3,,,,112672.0,6,
,B,B,_v,pd,,She chose an option that doesn't have very good outcomes either way.,Olivia would either have gotten 0 or 4 so she chose B.  If they were friends she could have picked A so Sydney got a lot more.,Definitely<br />Friends,3.0,TRIAL,77,71,,,,213447.0,6,
,B,B,_h,threat,,She's trying to get Zoe to pick $0 for herself,Zoe left Maria with nothing,Definitely<br />Friends,3.0,TRIAL,66,81,,,,291955.0,6,
,A,A,_v,threat,,Kaylee is sacrificing winning so Luke gets the most,Luke picked the best option for both,Definitely<br />Friends,0.0,TRIAL,19,22,,,,351225.0,6,
,A,B,_h,threat,,Daniel picked the best option for both,Emily maximized her winnings at Daniels loss,Definitely<br />Friends,1.0,TRIAL,37,40,,,,396192.0,6,
,A,A,_v,coordination,,Hard to say as both are the same,Hard to say but Geoff maximized their winnings,Definitely<br />Friends,0.0,TRIAL,50,50,,,,440282.0,6,
,B,A,_v,coordination,,Hard to say as they again are the same,Logan didn't want Jacob getting anything even at his own loss,Definitely<br />Friends,1.0,TRIAL,50,85,,,,497737.0,6,
,A,A,_v,singleControl,,Jack is trying to get the most for both,Not sure because both choices were the same,Definitely<br />Friends,0.0,TRIAL,33,45,,,,548012.0,6,
,B,A,_v,singleControl,,Kate doesnt want Richmond to get anything,There was no other option for him,Definitely<br />Friends,1.0,TRIAL,91,85,,,,588271.0,6,
,B,A,_v,attentionGame,,I think Matt is trying to get nothing for Megan,0,Definitely<br />Friends,,TRIAL,59,50,,,,626543.0,6,
,A,A,_h,disjunctive,,She's trying to get the most for both,Both options were the same,Definitely<br />Friends,0.0,TRIAL,27,37,,,,669644.0,6,
,B,B,_v,disjunctive,,She may want Gavin to get nothing,Gavin didn't want her getting anything even at his loss,Definitely<br />Friends,3.0,TRIAL,65,90,,,,709793.0,6,
,,,,,,,,,,END,,,begin,,,,6,
,,,,,,,,,,END,,,submit,,,,6,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,7,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,7,140745.0
,B,A,_v,threat,,There is not enough information to judge this.,There is not enough information to judge this.,Definitely<br />Friends,1.0,TRIAL,48,46,,,,115648.0,7,
,B,B,_h,threat,,This seems a spiteful choice.,There is not enough information to judge this.,Definitely<br />Friends,3.0,TRIAL,66,53,,,,176399.0,7,
,A,A,_h,threat,,There is not enough information to judge this.,There is not enough information to judge this.,Definitely<br />Friends,0.0,TRIAL,48,51,,,,185247.0,7,
,A,A,_v,disjunctive,,There is not enough information to judge this.,There is not enough information to judge this.,Definitely<br />Friends,0.0,TRIAL,43,40,,,,203496.0,7,
,B,B,_v,disjunctive,,There is not enough information to judge this.,There is not enough information to judge this.,Definitely<br />Friends,3.0,TRIAL,49,47,,,,212127.0,7,
,A,A,_h,singleControl,,There is not enough information to judge this.,There is not enough information to judge this.,Definitely<br />Friends,0.0,TRIAL,48,43,,,,907984.0,7,
,A,B,_h,singleControl,,There is not enough information to judge this.,There is not enough information to judge this.,Definitely<br />Friends,1.0,TRIAL,45,58,,,,931695.0,7,
,B,B,_v,pd,,There is not enough information to judge this.,There is not enough information to judge this.,Definitely<br />Friends,3.0,TRIAL,52,48,,,,940336.0,7,
,A,A,_v,pd,,There is not enough information to judge this.,There is not enough information to judge this.,Definitely<br />Friends,0.0,TRIAL,44,48,,,,951264.0,7,
,A,A,_v,attentionGame,,0,0,Definitely<br />Friends,,TRIAL,47,50,,,,970671.0,7,
,A,A,_h,coordination,,There is not enough information to judge this.,There is not enough information to judge this.,Definitely<br />Friends,0.0,TRIAL,45,46,,,,983768.0,7,
,B,A,_v,coordination,,There is not enough information to judge this.,There is not enough information to judge this.,Definitely<br />Friends,1.0,TRIAL,48,44,,,,997847.0,7,
,,,,,,,,,,END,,,begin,,,,7,
,,,,,,,,,,END,,,submit,,,,7,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,8,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,8,297407.0
,A,A,_h,threat,,"It's hard to they're friends, as if he was a true friend, as Robert seemed to choose his best option for getting at least $6","Gerald had the opportunity to get $12, yet he chose to give Robert the $12 instead.",Definitely<br />Enemies,0.0,TRIAL,47,100,,,,180982.0,8,
,B,B,_h,threat,,"If they were friends, he would have chosen an option where they both get money.",It's even more obvious that they're enemies because William chose to give $0 to Austin,Definitely<br />Enemies,3.0,TRIAL,7,0,,,,346317.0,8,
,A,B,_h,threat,,Most likely friends because Sydney chose an option where they would both get money.,"Hard to say now, as if they were really good friends, then perhaps Lauren would have given the $12 to Sydney",Definitely<br />Enemies,1.0,TRIAL,82,51,,,,440574.0,8,
,B,A,_v,coordination,,"Unable to tell if they are friends or enemies, as any choice that Hannah makes gives the same options, either get $12 or $0.","Definitely not friends, because if they were, Jacob would have chosen to have both receive $12 instead of $0",Definitely<br />Enemies,1.0,TRIAL,50,12,,,,650661.0,8,
,A,A,_v,coordination,,"As in the previous case, unable to tell because the options are the same","Still unable to tell if they are friends or enemies.  She could be making the choice that gives her the most money, and it just happens to give David the same amount.",Definitely<br />Enemies,0.0,TRIAL,49,49,,,,765078.0,8,
,A,B,_h,singleControl,,"Possibly friends, as Maria gives Gavin the option to get $6 either way, but there's also no difference in the choices given","If they were friends, Gavin would have chosen the option to give Maria $6 as well.",Definitely<br />Enemies,1.0,TRIAL,74,0,,,,871733.0,8,
,A,A,_h,singleControl,,"Unable to tell, as both options are the same.","Most likely friends, otherwise Logan would have likely chosen the option to give Megan $0.",Definitely<br />Enemies,0.0,TRIAL,51,90,,,,964558.0,8,
,B,B,_v,pd,,Most likely enemies and Jack is choosing the best option to get the most money.,"If they were friends, Olivia would have given Jack the $12",Definitely<br />Enemies,3.0,TRIAL,20,0,,,,1060614.0,8,
,A,A,_v,pd,,"Most likely friends, as Matt is choosing the option that gives Ryan the best chance for a better payout.","Being the nice friend that Ryan is, he chose to give even amounts when he could have taken the $12",Definitely<br />Enemies,0.0,TRIAL,85,100,,,,1141351.0,8,
,A,A,_v,attentionGame,,0,0,Definitely<br />Enemies,,TRIAL,52,54,,,,1162374.0,8,
,B,B,_h,disjunctive,,"If they were friends, he would have chosen the option where they are guaranteed $12","Apparently Luke doesn't like money, or Geoff, as he chose the option to give $0 to both",Definitely<br />Enemies,3.0,TRIAL,26,0,,,,1245406.0,8,
,A,A,_v,disjunctive,,"Zoe picked the best option for the most amount of money, but can't tell if they're friends by it.","Still can't tell, because there's not better choice",Definitely<br />Enemies,0.0,TRIAL,48,55,,,,1315255.0,8,
,,,,,,,,,,END,,,begin,,,,8,
,,,,,,,,,,END,,,submit,,,,8,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,9,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,9,67083.0
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-review.html'],,9,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-review.html,,,9,32399.0
,A,A,_h,pd,,I think they may be friends because they both choose option B and get a 12$ payout for each other,They both chose A so that they would get the same payout as well,Definitely<br />Enemies,0.0,TRIAL,79,86,,,,169701.0,9,
,B,B,_v,pd,,Geoff chose option B which makes William get 0$ and this indicates non-friendliness,They are probably not friends or one of them would sacrificed to get 0$ while the other one gets a 12$ payout which is much higher than 4$ for both,Definitely<br />Enemies,3.0,TRIAL,14,29,,,,259931.0,9,
,B,B,_h,disjunctive,,If they both choose the same options they will both get the same payout ,Neither one of them compromised to get any payout at all so they probably both wanted a high payout,Definitely<br />Enemies,3.0,TRIAL,76,25,,,,309614.0,9,
,A,A,_v,disjunctive,,Option A has a greater chance of getting higher payouts for both of them which indicates friendliness,They both got the same payout,Definitely<br />Enemies,0.0,TRIAL,58,66,,,,365045.0,9,
,A,A,_v,threat,,Gerald gets a higher payout than Jack no matter what Jack chooses,They could be friends because they chose options where they both get good payouts,Definitely<br />Enemies,0.0,TRIAL,25,67,,,,444634.0,9,
,B,B,_h,threat,,Lauren chose an option where they both get good payouts so they could be friends,Ryan chose an option where Lauren gets a payout but he doesn't,Definitely<br />Enemies,3.0,TRIAL,31,93,,,,495942.0,9,
,A,B,_h,threat,,Richmond went for the higher payout,Megan chose to get a higher payout than Richmond,Definitely<br />Enemies,1.0,TRIAL,33,29,,,,534396.0,9,
,A,A,_h,coordination,,Emily chose an option where they could possibly both get a good payout,They both chose options where they both get a good payout,Definitely<br />Enemies,0.0,TRIAL,36,69,,,,590134.0,9,
,A,B,_h,coordination,,Matt chose an option where they both get good payouts,Luke chose an option where neither of them get paid which does not indicate them being friends,Definitely<br />Enemies,1.0,TRIAL,66,14,,,,630091.0,9,
,A,B,_h,attentionGame,,0,0,Definitely<br />Enemies,,TRIAL,50,50,,,,639973.0,9,
,B,A,_v,singleControl,,Jacob chose an option where Zoe cannot get a good payout,Zoe was forced to choose an option that ended with only Jacob getting a payout,Definitely<br />Enemies,1.0,TRIAL,25,24,,,,685752.0,9,
,A,A,_v,singleControl,,Olivia chose an option where they both get a good payout,They both got good payouts from their mutual choices,Definitely<br />Enemies,0.0,TRIAL,69,77,,,,713779.0,9,
,,,,,,,,,,END,,,begin,,,,9,
,,,,,,,,,,END,,,submit,,,,9,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,10,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,10,82153.0
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-review.html'],,10,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-review.html,,,10,13672.0
,A,B,_h,coordination,,A normal person will pick this option,Only enemies will choose to gain nothing to punish someone,Definitely<br />Enemies,1.0,TRIAL,50,0,,,,188455.0,10,
,A,A,_v,coordination,,Normal person's choice,Normal person's option,Definitely<br />Enemies,0.0,TRIAL,50,50,,,,243481.0,10,
,B,B,_v,pd,,Olivia is just greedy,Daniel is forced to make this decision to gain something,Definitely<br />Enemies,3.0,TRIAL,44,49,,,,366239.0,10,
,A,A,_h,pd,,Sydney is being nice here,Emily is a nice person,Definitely<br />Enemies,0.0,TRIAL,70,71,,,,438444.0,10,
,B,A,_v,threat,,"They are probably strangers, seeks best option for themselves","They are probably strangers, seeks best option for themselves",Definitely<br />Enemies,1.0,TRIAL,50,50,,,,545396.0,10,
,A,A,_h,threat,,Lauren just seeks best option for her,Robert is a generous person,Definitely<br />Enemies,0.0,TRIAL,68,72,,,,683165.0,10,
,B,B,_v,threat,,"They are probably strangers, seeks best option for themselves",Sally does not like Austin ,Definitely<br />Enemies,3.0,TRIAL,50,10,,,,742257.0,10,
,A,A,_h,disjunctive,,Normal person's choice,Either outcome is the same,Definitely<br />Enemies,0.0,TRIAL,50,50,,,,769607.0,10,
,B,B,_h,disjunctive,,Megan does not like Kate,Kate is giving up a gain to punish Megan,Definitely<br />Enemies,3.0,TRIAL,11,0,,,,850282.0,10,
,B,B,_h,attentionGame,,0,0,Definitely<br />Enemies,,TRIAL,50,50,,,,866088.0,10,
,A,A,_v,singleControl,,Normal person's option,either outcome is the same,Definitely<br />Enemies,0.0,TRIAL,50,50,,,,911011.0,10,
,B,A,_v,singleControl,,Logan dislikes Richmond,Either outcome is the same,Definitely<br />Enemies,1.0,TRIAL,17,51,,,,976069.0,10,
,,,,,,,,,,END,,,begin,,,,10,
,,,,,,,,,,END,,,submit,,,,10,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,11,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,11,7861.0
,B,B,_v,pd,,BECAUSE HE EARN MORE,BECAUSE HE RECEIVES AN AMOUNT IS LOW AND SHARE AMOUNT IS EQUAL,Definitely<br />Friends,3.0,TRIAL,80,79,,,,87119.0,11,
,A,A,_v,pd,,BECAUSE DANIEL CHOOSE AS SHARE 8 AND &12,DANIEL CHOICE IS GOOD BECAUSE BOTH ARE EQUALLY SHARE,Definitely<br />Friends,0.0,TRIAL,78,10,,,,140237.0,11,
,B,B,_v,disjunctive,,FRANK CHOICE IS BETTER TO MOTIVATE EQUALLY ARRANGE THE $12,BECAUSE HE DOES NOT EARN EQUALLY,Definitely<br />Friends,3.0,TRIAL,9,24,,,,222103.0,11,
,A,A,_h,disjunctive,,LOGAN CHOOSE MOST OF OPTION A AS TO PLAY INVEST GAME AS EQUALLY,HE DEFINITELY FRIENDS TO SHARE EQUAL AMOUNT,Definitely<br />Friends,0.0,TRIAL,17,12,,,,267139.0,11,
,A,A,_h,threat,,KATE MAKES MORE SELFISH TO EARN GAME AND PLAYS,KATE JUDGEMENT TO EARN MORE TO COMPARE HANNAH AND MAKE MORE POSITIVE THOUGHT OF GAME,Definitely<br />Friends,0.0,TRIAL,33,74,,,,334574.0,11,
,A,B,_h,threat,,EMILY MAKE CHOICE IS GOOD FOR TO SUPPORT THE GAME AS INCLUDES AND BENEFIED AS PROBLEM OF MAKING CHOICE,EMILY PERFORMS A JUDGEMENT TAKES MORE EFFECTIVE PLAY THE GAME,Definitely<br />Friends,1.0,TRIAL,66,23,,,,457022.0,11,
,B,B,_h,threat,,LUKE GOES TO MAKE MORE SUPPORT TO GAME AT THE MOMENT MORE EARN TO PLAY THE GAME,BECAUSE HE RECEIVE A $0 IN PLAY,Definitely<br />Friends,3.0,TRIAL,30,66,,,,513014.0,11,
,A,A,_v,singleControl,,HE DEFINITELY MAKES GOOD TO PLAY THE GAME AND MOST EARNABLE THOUGHTS OF OPINION,HE RECEIVES A GOOD COST OF PLAY AND INVESTMENT AND MAKE MORE SUPPORTIVE TO PLAY THE GAME,Definitely<br />Friends,0.0,TRIAL,21,32,,,,568366.0,11,
,A,B,_h,singleControl,,GAVIN GOES TO CHOOSE OPTION A AS INCLUDE AND MAKE MORE EARNABLE TO PLAY THE GAME,DEFINITELY FRIEND BECAUSE GAVIN RECEIVES A $0 AND HE GAVE TO ROBERT,Definitely<br />Friends,1.0,TRIAL,15,45,,,,633285.0,11,
,A,B,_h,attentionGame,,0,0,Definitely<br />Friends,,TRIAL,28,17,,,,651293.0,11,
,A,A,_h,coordination,,RYAN CHOOSE A $12 AS GOOD TO EARN AND MOTIVATE TO PLAY,BOTH ARE EQUAL SO IT DEFINITELY FRIENDS,Definitely<br />Friends,0.0,TRIAL,72,16,,,,692936.0,11,
,A,B,_h,coordination,,DAVID CHOOSE A GAME AS PLAY FOR $12 FOR EACH SHARING SO THIS IS FRIENDLY,IN THAT TIME HE RECEIVES BOTH ARE 0 SO HE FRIENDLY,Definitely<br />Friends,1.0,TRIAL,23,35,,,,750046.0,11,
,,,,,,,,,,END,,,begin,,,,11,
,,,,,,,,,,END,,,submit,,,,11,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,12,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,12,59409.0
,B,B,_v,threat,,He chose consistently to give her less money.,She chose to get nothing while he recieved money.,Definitely<br />Friends,3.0,TRIAL,70,21,,,,73090.0,12,
,A,B,_h,threat,,He made a choice that gav e them both money.,They still both recieved money.,Definitely<br />Friends,1.0,TRIAL,46,36,,,,151538.0,12,
,A,A,_h,threat,,They both recieve money in this choice.,She chose to have Gerald receive more money than she did.,Definitely<br />Friends,0.0,TRIAL,45,10,,,,195732.0,12,
,B,B,_v,disjunctive,,They both recieved a payout.,He would rather recieve nothing if it meant that Austin would also receive nothing.,Definitely<br />Friends,3.0,TRIAL,38,83,,,,247382.0,12,
,A,A,_h,disjunctive,,They receive an equal payout.,"Again, they both recieve an equal payout.",Definitely<br />Friends,0.0,TRIAL,35,21,,,,285124.0,12,
